id,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,label14,label15,label16,label17,level
315,0.8765,19.67107553,0,28.27533619,255.6855227,0,15.19,255.6855227,0,6.83,0,55.10836879,0,31.88479527,202079.0667,131313.57,70765.49667,2
316,0,54.47908933,0,302.6221587,22.58181322,0,-27.06666667,23.29252232,0,0,0,0.194732521,0,-16.0327677,18.32,-11.72,30.04,4
317,0,3.937723031,0,58.43775215,130.1114386,9903760.023,19.06,171.3173813,9.3,43.57333333,0,364.1135542,0,1.46613033,5789261.82,2397568.117,13295453.73,4
318,0,-13.37587509,0,61.44394978,101.4297814,3974.58,-2.426666667,118.5993547,9.263333333,5.53,0,-92.14481849,0,-17.37223551,6246.263333,7010.373333,3210.47,2
319,3.146666667,33.24411495,99.13333333,157.6574798,95.39348444,4160.333333,-7.77,127.8892694,2.803333333,0,340,-661.4759244,-53.61666667,-19.17913452,2056,105.3333333,6111,3
320,3.146666667,-97.39135165,0,66.30827477,45.28392863,0,0,161.6357466,2.803333333,67.06666667,0,-20.89831938,0,-99.69791057,288131.1133,142309.1767,145821.9367,1
321,0,5.606666667,0,68.8049858,123.4964631,0,8.6,126.5744063,6.536666667,0.543333333,0,29.51238953,0,6.523900911,15089.17,3639.963333,11449.20667,3
322,0.586666667,-9.253922509,0,67.93443972,55.16158508,2898.986667,0.436666667,131.8668718,0.716666667,2.086666667,0,-6.797305534,0,-6.05723381,5041.743333,1733.66,6207.07,3
323,1.163333333,40.94684153,6.56,31.75356473,160.8548446,2779.75,0,204.5580206,6.26,5.566666667,0,0,0,106.9797853,2554.783333,1652.54,3681.993333,4
324,0,14.3260091,14.67666667,22.23669741,329.8308495,7668.96,0,437.9591405,2.75,4.436666667,0,39.56311084,0,12.33853675,7353.543333,5580.103333,9442.4,3
325,0.586666667,-11.31149825,-6.89,20.75899891,433.9899465,1989.656667,0,433.9899465,0,2.046666667,0,56.27401913,0,-6.02231191,3899.873333,2579.026667,3310.503333,4
326,0.37,4.370576016,2.393333333,35.76016592,101.9380858,179.6,0,122.5340152,0.98,2.89,0,0,0,NaN,1559.776667,682.5133333,1056.863333,3
327,0,-3.983306121,0,47.77503637,224.8996078,0,-17.03666667,224.8996078,0,3.753333333,0,59.30815802,0,-3.314590926,1560.513333,847.3933333,713.12,3
328,0.813333333,10.46666667,0,42.30344713,52.17044375,0,6.91,69.80793345,10.37,6.906666667,0,36.64024149,0,0,27135.77667,15686.98,1535064.667,2
329,0,32.46175913,0,31.04932262,2.87,31177129.92,1.273333333,291.2487713,10.37,6.906666667,0,-8.711612978,0,17.87892946,18240550.69,14498732.77,34918947.84,3
330,0.6658,13.8578437,0,19.55647364,475.6129024,0,3535.776667,491.7647664,NaN,1.82,0,151.8686919,0,28.64729711,18161.59333,14253.01667,3908.576667,3
331,0.03,-17.7764975,0,39.629077,53.45290598,54.11333333,0,67.00745757,NaN,1.58,0,0,0,-56.11767386,938.2766667,1427.68,-435.29,4
332,0.23,9.728681817,0,3.955539594,814.6172174,0,0,824.3628153,7.023333333,5.936666667,0,-118.3455765,0,57.36200938,52047.41,6203.206667,45844.20333,2
333,0.723333333,12.06024207,0,56.52111411,134.9622521,0,0,168.5335542,7.023333333,5.936666667,0,-19.51173804,0,8.594250401,36486.61333,15515.79333,20970.82,2
334,0,-9.826973902,0,40.4218965,250.3406976,0,-78.91333333,250.3406976,0,2.903333333,0,77.68551267,0,-1.859182973,4010.93,2065.706667,1945.223333,3
335,0.29,3.768918888,0,29.25671382,208.5892088,3177.363333,3.483333333,234.4825798,3.566666667,10.83333333,0,25.3024785,0,8.601622763,12822.32667,7365.21,8634.48,2
336,1.53,17.56938426,0,30.62118006,308.9740308,26060.47667,9.833333333,327.4838433,9.343333333,5.156666667,0,47.34922107,0,33.58834397,40041.31667,30562.96,35538.83333,1
337,0.656666667,6.969568667,0,30.79486422,366.0244051,1332.473333,NaN,378.4291094,8.253333333,1.646666667,0,-15.50469208,0,4.792692564,2546.31,1743.946667,2134.836667,3
338,0.183333333,-155.5823772,-30.96666667,38.50940718,100.9654401,188.4666667,0,106.4969151,1.766666667,6.166666667,0,-141.88113,0,-59.65269956,1183.733333,867.7966667,504.4033333,4
339,1.31,13.62254566,0,17.19268358,841.054371,0,0,841.054371,0,10.73333333,0,-281.9575678,0,10.26887591,801.49,653.2666667,148.2233333,4
340,61.21666667,-1.730020091,-0.546666667,28.62633213,304.0060955,86020.53333,0,382.5996938,608.7066667,519.3833333,0,-1.696382209,0,-1.833333333,86638.81667,98484.2,74175.15,2
341,0,1.682271811,1.763333333,24.31835258,1693.958527,0,13.38,1742.340972,30.1,38.46333333,0,65.25351167,0,1.55406996,3662.463333,2520.603333,1141.86,4
342,1.016666667,53.4330321,0,55.24547536,104.005481,4454.216667,0,145.2872562,3.336666667,3.553333333,0,-1.871241321,0,35.71808936,3830.786667,1607.843333,6677.16,2
343,0.65,14.78316854,9.216666667,42.92634637,231.2178775,30743.00333,0,263.5996525,3.593333333,2.34,0,-29.4167347,0,16.83403831,55744.56667,33087.26667,53400.30333,2
344,1.033333333,-91.23371988,0,69.40609601,122.5967378,1221.24,0,123.0889187,295.3866667,5.506666667,0,0,0,-33.35044748,1780.67,487.94,2513.97,3
345,0.273333333,-0.845954155,0,36.7726706,286.347147,554.5066667,0,311.4741785,0.79,1.366666667,0,0,0,-1.357018472,1771.753333,1072.613333,1253.646667,3
346,1.31,4.559868887,8.963333333,54.46858109,61.02447853,2653.023333,0,108.7007698,3.146666667,31.00333333,0,0.976211314,0,4.180113138,2420.92,760.8766667,4313.066667,4
347,1.226666667,6.942935285,0,44.00512067,223.2092953,0,0,223.2092953,0,1.993333333,0,-46.45412045,0,3.985909884,8560.63,5026.25,3534.38,2
348,0.560366667,18.47707886,0,35.24932518,223.6234276,0,0,262.7699457,NaN,1.063666667,0,-11.54660374,0,31.15144589,31221.07667,21137.46333,10083.61333,3
349,0.6006,22.61411026,0,38.6265776,150.3555756,0,25.55666667,179.187778,NaN,1.56,0,31.70394562,0,35.78140018,12814.76667,7890.903333,4923.863333,2
350,0.573333333,13.61551345,0,41.33277344,168.8015883,0,30.64333333,209.9025476,2.026666667,2.876666667,0,18.56107925,0,20.9481326,16629.62,9882.933333,6746.686667,2
351,0.476666667,11.46348526,0,13.70335792,1219.287044,0,0,1219.346293,2.026666667,2.876666667,0,-41.89280158,0,31.03410885,1759.143333,1520.666667,238.4766667,3
352,112.7433333,20.35885435,19.21,22.68383483,376.1147611,17210.98667,0,401.9523359,2478.663333,345.43,0,-69.22970743,0,19.18666667,18965.09333,9366.003333,26810.07667,2
353,3.72,45.89351479,0,45.4800062,124.1696484,0,0,128.2821845,1560.66,5.736666667,0,0.435850504,0,9.409336993,2474.383333,816.4766667,1657.906667,3
354,1.2,2.450478035,0,37.71778341,175.8938276,3266.503333,0,181.6145513,50.13666667,5.616666667,0,4.854261638,0,1.369901452,2793.183333,1733.443333,4326.243333,3
355,0.59,-0.010451983,-0.146666667,20.58346509,67.33639867,751.38,-22.77666667,98.73635416,6.386666667,4.016666667,0,6.305179764,0,-9.789663178,3714.56,2252.026667,2213.913333,3
356,0,20.7694315,0,62.80954315,140.6767981,0,22.01666667,155.3227043,10.39666667,2.503333333,0,8.634423641,0,7.802527021,8652.936667,3226.376667,5426.56,3
357,0.7501,1.284144861,0,59.53970297,155.2409596,0,5.413333333,185.0521386,3.7055,2.668066667,0,-13.95680643,0,0.460150674,3110.646667,1034.616667,2076.03,4
358,0,11.27840914,0,64.65174985,80.76324586,2060.45,18.9,90.52057624,NaN,0,0,9.209554937,0,2.435435433,1074.59,385.8133333,2749.226667,3
359,0,17.17671921,0,77.2564522,75.12842816,117382011.6,9.556666667,89.84607933,5.583333333,3.126666667,0,19.36367873,0,4.554878235,145801489.1,28737486.61,234446014.1,2
360,1.17,15.88718545,10.46,55.02153936,133.136064,6300.333333,31.29,175.1088907,2.9,0,356.6666667,23.373819,10.00666667,8.498390756,6748,3043,10005.33333,2
361,0.903333333,10.16973941,8.03,18.94261612,472.1653337,4349.726667,-199.63,498.442353,7.793333333,3.11,0,-22.82738387,0,13.20779911,5934.25,4806.02,5477.956667,3
362,0,-1.045162707,0,2.149433325,2368.757076,0,0,2368.757076,0,0,0,0,0,-16.8013869,159.44,160.5333333,-1.093333333,4
363,1.103333333,20.57099043,0,59.75764674,142.5560842,0,6.046666667,173.0110462,2.708366667,57.68,0,106.4018415,0,9.154126381,52070.04333,20665.95,31404.09333,2
364,0,-0.31,0,0.78,1409.75,0,0,0,0,0,0,0,0,0,33.81,0,33.81,3
365,0.353333333,10.31495754,9.263333333,31.8133548,229.2745792,6139.306667,0,276.2576325,1.276666667,0.71,0,8.648561073,0,25.71335948,18764.32333,10887.67667,14015.95333,2
366,0.476666667,8.449924114,0,9.5394079,188.2265557,8626.496667,5.57,204.2519308,8.536666667,1.153333333,0,-1.036899508,0,12.69489709,76607.73,11309.80667,73924.42,2
367,1.02,8.891933513,0,32.78821761,460.3521271,0,0,472.8493125,8.536666667,1.153333333,0,-17.95443038,0,14.11914602,759.0833333,585.4766667,173.6066667,4
368,0,-32.27659574,0,1.841832623,359.7222222,0,0,603.2638889,0,0,0,0,0,-33.33333333,28.95666667,15.66666667,13.29,4
369,0.613333333,-15.53407689,-8.63,31.5435973,290.3730185,0,-14.76,290.3730185,54.32666667,4.733333333,0,-2.598583023,0,-9.159727928,3129.83,2106.243333,1023.586667,3
370,0,9.724987346,8.183333333,15.84564509,431.2203457,0,19.75,431.3549981,31743.93667,18.49,0,70.06648332,0,11.92362157,8834.063333,7391.03,1443.033333,2
371,16.11333333,10.71536908,0.166666667,19.24041201,74.75366865,750.1933333,0,196.7171029,23.56333333,119.6766667,0,1.035874558,0,0.68,6200.846667,3019.116667,3931.923333,3
372,0.526666667,14.34056677,9.533333333,43.73337023,300.9709406,7011.236667,0,356.031934,3.083333333,0.856666667,0,36.05056369,0,21.60546487,15548.16333,8990.833333,13568.56667,2
373,0.822433333,12.5849933,0,49.41677971,150.4707276,0,-82.07333333,201.5823182,2.8319,1.99,0,-14.52375949,0,10.4569428,6332.79,3165.75,3167.04,3
374,2.106666667,4.572049354,0,60.94777879,144.5345381,0,0,156.8676606,21.16,10.03333333,0,-9.010757784,0,1.995645422,1165.003333,488.25,676.7533333,3
375,0.996666667,3.202071732,0,37.57950008,226.996462,18942.96333,10.04666667,244.2469035,21.16,10.03333333,0,6.274717547,0,2.423890541,19320.5,12053.57333,26209.89,2
376,0.323333333,-16.08478683,-8.333333333,28.33626865,273.2056642,755.8366667,0,356.1279622,0.756666667,2.76,0,19.33246252,0,-25.64590355,2232.483333,1561.026667,1427.293333,4
377,0.7,1.910957641,1.366666667,23.99670273,296.3434149,8018.65,-12.05,362.8439554,2.846666667,2.853333333,0,-17.78364659,0,1.955074129,12004.67667,9269.443333,10753.88333,2
378,1.196666667,-25.14850578,6.213333333,49.00197873,151.0876018,14655.66667,-8.653333333,214.4797097,7.81,0,633.3333333,-30.71286956,-7.493333333,-6.722712384,11671.33333,5884.333333,20442.66667,3
379,1.196666667,103.983581,10.64,20.2434941,456.6010107,24076.67667,0,457.3171088,7.81,3.253333333,0,-327.457146,0,14.91666667,31418.78,22862.21,32633.24667,2
380,0,15.65452818,0,58.24379891,82.81442571,24056140.52,25.68333333,159.6467392,1.736666667,14.15,0,-16.99888598,0,11.24223974,19949498.35,7449114.987,36556523.89,3
381,1.05,20.97515972,0,23.35514757,315.8169308,6412.956667,150.4666667,326.0106092,16.31666667,4.833333333,0,33.96372811,0,27.13940304,10689.48667,8415.45,8686.993333,2
382,0.546666667,-26.2653081,-25.13333333,29.07064375,191.0816643,119.79,490.2066667,191.0816643,0,1.073333333,0,-79.91897812,0,-49.00749504,744.28,586.9166667,277.1533333,3
